id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail
77727,2019-03-15,08:03:21,79,1,가동,721,123,123,28,112,154,50,28,172,153,93,77,699,25,D,23,8413,1
77729,2019-03-15,08:05:21,79,2,가동,722,123,121,97,112,168,50,170,171,178,143,167,704,25,D,23,8413,1
77731,2019-03-15,08:07:14,78,3,가동,724,123,121,105,112,169,49,207,172,196,175,249,697,25,D,23,8413,1
77733,2019-03-15,08:09:18,77,4,가동,727,123,120,110,112,170,44,220,173,208,193,301,705,25,D,23,8413,1
77735,2019-03-15,08:11:15,76,5,가동,728,123,120,110,112,170,48,224,175,216,203,335,694,26,D,23,8413,1
77737,2019-03-15,08:13:19,75,6,가동,729,120,120,110,112,330,47,226,177,223,212,349,702,26,A,23,8413,0
77739,2019-03-15,08:15:21,75,7,가동,730,121,122,110,112,330,46,224,179,231,223,356,701,26,A,23,8413,0
77741,2019-03-15,08:17:23,74,8,가동,731,122,122,110,112,330,46,225,180,237,229,365,700,27,A,23,8413,0
77742,2019-03-15,08:19:29,73,9,가동,732,122,122,110,112,330,44,230,182,242,234,369,703,27,A,23,8413,0
77744,2019-03-15,08:21:33,72,10,가동,732,122,122,110,112,331,47,230,183,246,238,376,701,27,A,23,8413,0
77746,2019-03-15,08:23:45,72,11,가동,732,122,124,110,112,330,46,230,184,249,240,379,698,28,A,23,8413,0
77748,2019-03-15,08:25:39,70,12,가동,732,124,123,110,112,330,44,231,186,252,241,377,703,28,A,23,8413,0
77750,2019-03-15,08:27:42,70,13,가동,732,122,122,110,113,330,46,233,187,255,244,380,703,28,A,23,8413,0
77752,2019-03-15,08:29:35,69,14,가동,732,122,123,110,112,330,45,233,188,256,244,383,702,29,A,23,8413,0
77754,2019-03-15,08:31:40,68,15,가동,731,122,122,110,112,330,46,234,189,258,246,385,696,29,A,23,8413,0
