id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail,datetime
15236,2019-01-22,08:01:39,-1,3,가동,712,121,80,109,112,159,52,98,109,127,112,460,708,26,A,23,8917,1,2019-01-22 08:01:39
15238,2019-01-22,08:03:41,-1,4,가동,712,121,119,109,112,158,49,104,119,139,124,468,715,26,A,23,8917,1,2019-01-22 08:03:41
15240,2019-01-22,08:05:40,-1,5,가동,713,121,119,110,112,158,49,104,126,143,126,474,702,27,A,23,8917,1,2019-01-22 08:05:40
15242,2019-01-22,08:07:42,-1,6,가동,712,119,119,110,112,330,49,114,131,146,125,477,713,27,A,23,8917,0,2019-01-22 08:07:42
15244,2019-01-22,08:09:44,-1,7,가동,713,121,122,110,112,331,50,120,138,152,128,479,711,27,A,23,8917,0,2019-01-22 08:09:44
15246,2019-01-22,08:11:38,-1,8,가동,713,121,121,110,112,330,52,113,142,155,130,479,700,28,A,23,8917,0,2019-01-22 08:11:38
15248,2019-01-22,08:13:36,-1,9,가동,712,120,121,110,112,331,50,124,145,157,132,478,705,28,A,23,8917,0,2019-01-22 08:13:36
15250,2019-01-22,08:15:39,-1,10,가동,712,117,119,110,112,330,52,125,148,162,133,478,709,28,A,23,8917,0,2019-01-22 08:15:39
15252,2019-01-22,08:17:40,-1,11,가동,711,118,118,110,112,330,54,127,151,165,134,479,714,29,A,23,8917,0,2019-01-22 08:17:40
15254,2019-01-22,08:19:39,-1,12,가동,711,118,118,110,112,331,52,129,153,167,135,479,711,29,A,23,8917,0,2019-01-22 08:19:39
15256,2019-01-22,08:21:39,-1,13,가동,710,117,119,110,112,330,49,128,155,168,136,479,698,29,A,23,8917,0,2019-01-22 08:21:39
15258,2019-01-22,08:23:41,-1,14,가동,710,118,119,110,112,332,54,131,156,169,137,478,708,29,A,23,8917,0,2019-01-22 08:23:41
15260,2019-01-22,08:25:37,-1,15,가동,710,118,119,110,112,330,53,131,157,170,137,478,709,30,A,23,8917,0,2019-01-22 08:25:37
15262,2019-01-22,08:27:31,-1,16,가동,709,119,119,110,112,330,51,129,158,170,138,479,711,30,A,23,8917,0,2019-01-22 08:27:31
15264,2019-01-22,08:29:30,-1,17,가동,708,118,120,110,111,332,52,127,158,171,138,478,716,30,A,23,8917,0,2019-01-22 08:29:30
15266,2019-01-22,08:31:28,-1,18,가동,708,120,119,110,112,331,54,121,160,171,138,478,709,30,A,23,8917,0,2019-01-22 08:31:28
15268,2019-01-22,08:33:26,-1,19,가동,709,119,119,110,112,330,50,103,160,171,137,477,713,30,A,23,8917,0,2019-01-22 08:33:26
15270,2019-01-22,08:35:18,-1,20,가동,710,119,120,110,112,330,54,102,161,171,138,478,703,29,A,23,8917,0,2019-01-22 08:35:18
15272,2019-01-22,08:37:25,-1,21,가동,711,119,120,110,112,331,52,102,161,172,138,478,706,29,A,23,8917,0,2019-01-22 08:37:25
15274,2019-01-22,08:39:20,-1,22,가동,712,120,120,110,112,330,54,102,162,171,138,479,709,29,A,23,8917,0,2019-01-22 08:39:20
15276,2019-01-22,08:41:28,-1,23,가동,713,120,121,110,112,331,50,102,162,172,138,479,713,30,A,23,8917,0,2019-01-22 08:41:28
15278,2019-01-22,08:43:26,-1,24,가동,713,120,121,110,112,330,50,102,162,172,139,479,699,30,A,23,8917,0,2019-01-22 08:43:26
15280,2019-01-22,08:45:29,-1,25,가동,713,120,121,110,112,331,55,102,163,173,139,479,702,31,A,23,8917,0,2019-01-22 08:45:29
15282,2019-01-22,08:47:26,-1,26,가동,713,120,120,110,112,330,55,102,163,174,140,479,700,31,A,23,8917,0,2019-01-22 08:47:26
15284,2019-01-22,08:49:30,-1,27,가동,712,120,120,110,112,330,51,102,165,175,140,478,710,31,A,23,8917,0,2019-01-22 08:49:30
15286,2019-01-22,08:51:31,-1,28,가동,712,120,122,110,112,330,54,102,165,174,140,478,700,31,A,23,8917,0,2019-01-22 08:51:31
15288,2019-01-22,08:53:28,-1,29,가동,711,121,121,110,112,330,50,102,165,175,141,479,712,31,A,23,8917,0,2019-01-22 08:53:28
15290,2019-01-22,08:55:31,-1,30,가동,710,120,122,110,112,330,52,102,165,174,140,478,713,32,A,23,8917,0,2019-01-22 08:55:31
15292,2019-01-22,08:57:28,-1,31,가동,710,121,121,110,112,331,53,102,165,174,140,478,675,32,A,23,8917,0,2019-01-22 08:57:28
15294,2019-01-22,08:59:33,-1,32,가동,710,120,122,110,112,330,50,102,165,174,141,478,713,32,A,23,8917,0,2019-01-22 08:59:33
15296,2019-01-22,09:01:32,-1,33,가동,708,122,122,110,112,331,53,102,166,174,141,478,695,32,A,23,8917,0,2019-01-22 09:01:32
15298,2019-01-22,09:03:35,-1,34,가동,708,122,123,110,112,331,53,102,166,173,141,477,709,32,A,23,8917,0,2019-01-22 09:03:35
15300,2019-01-22,09:05:38,-1,35,가동,709,122,123,110,112,332,52,102,165,173,141,477,710,32,A,23,8917,0,2019-01-22 09:05:38
15302,2019-01-22,09:07:46,-1,36,가동,710,122,122,110,112,331,53,102,166,174,141,478,714,33,A,23,8917,0,2019-01-22 09:07:46
15304,2019-01-22,09:09:48,-1,37,가동,712,121,122,110,112,331,53,102,166,174,142,479,711,32,A,23,8917,0,2019-01-22 09:09:48
15306,2019-01-22,09:13:11,-1,38,가동,711,122,200,110,112,332,48,97,141,145,127,457,699,33,A,23,8917,0,2019-01-22 09:13:11
15308,2019-01-22,09:15:11,-1,39,가동,711,199,119,110,112,332,51,102,154,159,134,469,712,33,A,23,8917,0,2019-01-22 09:15:11
15310,2019-01-22,09:17:12,-1,40,가동,710,118,117,110,112,331,52,102,158,168,139,476,714,33,A,23,8917,0,2019-01-22 09:17:12
15312,2019-01-22,09:19:01,-1,41,가동,708,117,117,110,112,331,51,102,160,173,141,481,702,33,A,23,8917,0,2019-01-22 09:19:01
15314,2019-01-22,09:20:59,-1,42,가동,710,117,118,110,112,331,51,102,163,176,142,482,710,33,A,23,8917,0,2019-01-22 09:20:59
15316,2019-01-22,09:23:05,-1,43,가동,711,117,118,110,112,332,52,102,164,177,143,479,713,33,A,23,8917,0,2019-01-22 09:23:05
15317,2019-01-22,09:24:51,-1,44,가동,712,118,117,110,112,331,53,102,166,179,144,478,710,33,A,23,8917,0,2019-01-22 09:24:51
15318,2019-01-22,09:26:52,-1,45,가동,712,117,119,110,112,330,50,102,166,180,144,478,712,33,A,23,8917,0,2019-01-22 09:26:52
15319,2019-01-22,09:28:51,-1,46,가동,713,119,118,110,112,331,51,102,166,181,144,478,686,33,A,23,8917,0,2019-01-22 09:28:51
15320,2019-01-22,09:30:51,-1,47,가동,713,117,119,110,112,331,53,102,166,181,145,479,707,32,A,23,8917,0,2019-01-22 09:30:51
15321,2019-01-22,09:32:49,-1,48,가동,712,119,118,110,112,330,54,102,167,181,144,479,709,31,A,23,8917,0,2019-01-22 09:32:49
15323,2019-01-22,09:34:50,-1,49,가동,711,118,119,110,112,331,56,102,167,181,144,480,710,31,A,23,8917,0,2019-01-22 09:34:50
15325,2019-01-22,09:36:48,-1,50,가동,711,118,119,110,112,331,56,102,168,181,144,479,712,32,A,23,8917,0,2019-01-22 09:36:48
15327,2019-01-22,09:38:40,-1,51,가동,711,119,119,110,112,330,52,102,168,181,144,478,712,32,A,23,8917,0,2019-01-22 09:38:40
15329,2019-01-22,09:40:44,-1,52,가동,711,118,119,110,112,330,53,102,168,181,144,479,702,33,A,23,8917,0,2019-01-22 09:40:44
15331,2019-01-22,09:42:40,-1,53,가동,710,118,119,110,112,330,53,102,169,181,144,479,702,32,A,23,8917,0,2019-01-22 09:42:40
15333,2019-01-22,09:44:51,-1,54,가동,709,119,120,110,112,331,53,102,167,181,144,478,704,33,A,23,8917,0,2019-01-22 09:44:51
15335,2019-01-22,09:46:47,-1,55,가동,708,119,119,110,112,331,54,102,169,182,145,478,704,33,A,23,8917,0,2019-01-22 09:46:47
15337,2019-01-22,09:48:42,-1,56,가동,710,119,119,110,112,331,55,102,168,183,145,479,698,33,A,23,8917,0,2019-01-22 09:48:42
15339,2019-01-22,09:52:00,-1,57,가동,713,119,119,110,112,331,50,97,144,153,131,461,710,33,A,23,8917,0,2019-01-22 09:52:00
15341,2019-01-22,09:53:58,-1,58,가동,713,177,119,110,112,332,51,102,155,166,138,473,710,33,A,23,8917,0,2019-01-22 09:53:58
15343,2019-01-22,09:55:59,-1,59,가동,713,119,118,110,112,330,55,102,161,174,142,480,693,33,A,23,8917,0,2019-01-22 09:55:59
15345,2019-01-22,09:57:58,-1,60,가동,713,118,120,110,112,330,54,102,163,177,143,482,710,33,A,23,8917,0,2019-01-22 09:57:58
15347,2019-01-22,09:59:50,-1,61,가동,713,119,119,110,112,331,53,102,165,180,145,481,708,33,A,23,8917,0,2019-01-22 09:59:50
15349,2019-01-22,10:01:50,-1,62,가동,713,120,121,110,112,331,51,102,165,180,145,480,706,33,A,23,8917,0,2019-01-22 10:01:50
15351,2019-01-22,10:03:54,-1,63,가동,713,120,119,110,112,330,53,102,166,181,145,480,712,33,A,23,8917,0,2019-01-22 10:03:54
15353,2019-01-22,10:05:54,-1,64,가동,712,118,120,110,112,330,55,102,167,182,146,479,710,33,A,23,8917,0,2019-01-22 10:05:54
15355,2019-01-22,10:07:54,-1,65,가동,711,119,119,110,112,331,54,102,166,182,146,478,689,33,A,23,8917,0,2019-01-22 10:07:54
15357,2019-01-22,10:09:53,-1,66,가동,710,119,122,110,112,331,55,102,166,181,146,478,709,34,A,23,8917,0,2019-01-22 10:09:53
15359,2019-01-22,10:11:56,-1,67,가동,709,122,120,110,112,330,54,102,167,181,146,479,706,34,A,23,8917,0,2019-01-22 10:11:56
15361,2019-01-22,10:13:58,-1,68,가동,709,120,121,110,112,330,53,102,167,180,146,479,712,33,A,23,8917,0,2019-01-22 10:13:58
15363,2019-01-22,10:16:06,-1,69,가동,709,120,121,110,112,330,54,102,167,180,145,478,710,33,A,23,8917,0,2019-01-22 10:16:06
15365,2019-01-22,10:18:04,-1,70,가동,711,121,121,110,112,331,55,102,168,180,146,478,706,34,A,23,8917,0,2019-01-22 10:18:04
15367,2019-01-22,10:20:03,-1,71,가동,713,120,120,110,112,331,52,102,168,181,146,479,704,34,A,23,8917,0,2019-01-22 10:20:03
15369,2019-01-22,10:21:57,-1,72,가동,714,120,120,110,112,331,54,102,168,180,146,481,705,34,A,23,8917,0,2019-01-22 10:21:57
15371,2019-01-22,10:24:01,-1,73,가동,714,119,123,110,112,331,53,102,167,179,146,480,709,33,A,23,8917,0,2019-01-22 10:24:01
15373,2019-01-22,10:26:00,-1,74,가동,714,123,121,110,112,331,54,102,167,179,145,479,710,32,A,23,8917,0,2019-01-22 10:26:00
15375,2019-01-22,10:28:03,-1,75,가동,714,121,121,110,112,331,51,102,168,181,145,479,695,31,A,23,8917,0,2019-01-22 10:28:03
15378,2019-01-22,10:31:34,-1,76,가동,714,120,200,110,112,336,50,94,142,150,131,457,704,33,A,23,8917,0,2019-01-22 10:31:34
15380,2019-01-22,10:33:27,-1,77,가동,714,199,117,110,112,331,52,102,154,165,138,471,711,33,A,23,8917,0,2019-01-22 10:33:27
15382,2019-01-22,10:35:29,-1,78,가동,714,117,118,110,112,330,51,102,160,173,142,479,712,33,A,23,8917,0,2019-01-22 10:35:29
15383,2019-01-22,10:37:22,-1,79,가동,714,117,117,110,112,331,51,102,164,177,144,483,701,33,A,23,8917,0,2019-01-22 10:37:22
15385,2019-01-22,10:39:15,-1,80,가동,713,117,118,110,112,331,51,102,167,181,145,482,707,33,A,23,8917,0,2019-01-22 10:39:15
15387,2019-01-22,10:41:18,-1,81,가동,713,117,117,110,112,330,54,102,169,183,146,481,705,33,A,23,8917,0,2019-01-22 10:41:18
15389,2019-01-22,10:43:04,-1,82,가동,712,117,117,110,112,330,52,102,170,184,147,479,709,33,A,23,8917,0,2019-01-22 10:43:04
15391,2019-01-22,10:45:02,-1,83,가동,712,117,117,110,112,331,51,102,172,185,147,478,709,33,A,23,8917,0,2019-01-22 10:45:02
15393,2019-01-22,10:47:00,-1,84,가동,711,117,118,110,112,331,52,102,171,185,147,478,696,33,A,23,8917,0,2019-01-22 10:47:00
15395,2019-01-22,10:48:58,-1,85,가동,710,117,117,110,112,331,53,102,171,185,147,479,713,33,A,23,8917,0,2019-01-22 10:48:58
15397,2019-01-22,10:50:55,-1,86,가동,709,116,117,110,112,331,52,102,171,185,147,480,704,33,A,23,8917,0,2019-01-22 10:50:55
15399,2019-01-22,10:52:57,-1,87,가동,709,114,117,110,112,331,53,102,170,185,147,480,708,33,A,23,8917,0,2019-01-22 10:52:57
15401,2019-01-22,10:54:58,-1,88,가동,710,116,118,110,112,330,51,102,169,184,147,479,703,33,A,23,8917,0,2019-01-22 10:54:58
15403,2019-01-22,10:56:53,-1,89,가동,711,118,118,110,112,331,55,102,169,184,146,479,709,33,A,23,8917,0,2019-01-22 10:56:53
15405,2019-01-22,10:58:49,-1,90,가동,712,118,117,110,112,330,55,102,170,185,147,479,706,33,A,23,8917,0,2019-01-22 10:58:49
15407,2019-01-22,11:00:52,-1,91,가동,713,117,118,110,112,331,53,102,169,184,147,480,709,33,A,23,8917,0,2019-01-22 11:00:52
15409,2019-01-22,11:02:48,-1,92,가동,713,118,118,110,112,331,54,102,169,185,147,480,709,33,A,23,8917,0,2019-01-22 11:02:48
15411,2019-01-22,11:04:44,-1,93,가동,713,117,118,110,112,330,56,102,170,184,147,479,712,33,A,23,8917,0,2019-01-22 11:04:44
15413,2019-01-22,11:06:42,-1,94,가동,713,118,119,110,112,331,52,102,169,184,147,479,705,33,A,23,8917,0,2019-01-22 11:06:42
15415,2019-01-22,11:08:42,-1,95,가동,713,118,117,110,112,332,55,102,170,185,147,480,711,33,A,23,8917,0,2019-01-22 11:08:42
