id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail,datetime
101,2019-01-02,20:01:06,-1,2,가동,729,126,82,110,112,158,53,168,116,127,128,515,715,24,A,23,8573,1,2019-01-02 20:01:06
103,2019-01-02,20:03:14,-1,3,가동,730,126,129,110,112,185,56,194,133,148,146,529,705,25,A,23,8573,1,2019-01-02 20:03:14
105,2019-01-02,20:05:18,-1,4,가동,731,126,84,110,112,191,56,212,146,163,159,530,715,26,A,23,8573,1,2019-01-02 20:05:18
107,2019-01-02,20:07:26,-1,5,가동,731,126,87,110,112,189,57,216,153,171,167,528,713,26,A,23,8573,1,2019-01-02 20:07:26
110,2019-01-02,20:09:36,-1,6,가동,732,124,130,110,112,331,55,217,158,176,171,522,712,27,A,23,8573,0,2019-01-02 20:09:36
112,2019-01-02,20:11:41,-1,7,가동,732,130,126,110,112,331,54,220,167,185,181,521,713,27,A,23,8573,0,2019-01-02 20:11:41
114,2019-01-02,20:13:49,-1,8,가동,731,125,127,110,112,331,57,221,171,190,186,520,709,28,A,23,8573,0,2019-01-02 20:13:49
116,2019-01-02,20:15:54,-1,9,가동,731,126,125,110,112,331,56,225,176,194,190,520,715,28,A,23,8573,0,2019-01-02 20:15:54
118,2019-01-02,20:18:00,-1,10,가동,731,125,127,110,112,331,56,225,178,197,192,521,716,28,A,23,8573,0,2019-01-02 20:18:00
120,2019-01-02,20:20:06,-1,11,가동,730,126,126,110,112,331,56,226,180,200,194,521,712,29,A,23,8573,0,2019-01-02 20:20:06
122,2019-01-02,20:22:13,-1,12,가동,730,125,126,110,112,332,56,227,182,201,196,522,695,29,A,23,8573,0,2019-01-02 20:22:13
123,2019-01-02,20:24:20,-1,13,가동,729,127,126,110,112,331,56,228,183,202,197,520,714,29,A,23,8573,0,2019-01-02 20:24:20
125,2019-01-02,20:26:28,-1,14,가동,728,125,128,110,112,332,56,226,183,202,197,522,706,29,A,23,8573,0,2019-01-02 20:26:28
127,2019-01-02,20:28:32,-1,15,가동,728,128,125,110,112,331,56,229,185,204,199,520,710,30,A,23,8573,0,2019-01-02 20:28:32
129,2019-01-02,20:30:41,-1,16,가동,729,125,127,110,112,331,56,228,186,205,199,520,713,30,A,23,8573,0,2019-01-02 20:30:41
131,2019-01-02,20:32:48,-1,17,가동,730,126,126,110,112,331,57,228,186,206,200,519,705,30,A,23,8573,0,2019-01-02 20:32:48
