id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail,datetime
1,2019-01-02,16:45:08,-1,243,가동,720,98,125,109,109,309,48,250,113,208,163,481,708,30,A,25,8412,0,2019-01-02 16:45:08
2,2019-01-02,16:45:58,-1,244,가동,721,98,122,109,109,309,48,250,113,208,163,481,708,30,A,25,8412,0,2019-01-02 16:45:58
3,2019-01-02,16:48:03,-1,245,가동,721,100,125,112,109,308,49,268,122,211,179,483,708,30,A,25,8412,0,2019-01-02 16:48:03
4,2019-01-02,16:50:08,-1,246,가동,721,99,123,109,110,309,49,276,128,216,187,486,708,30,A,25,8412,0,2019-01-02 16:50:08
5,2019-01-02,16:52:13,-1,247,가동,722,100,125,110,110,308,50,279,133,220,195,485,708,30,A,25,8412,0,2019-01-02 16:52:13
6,2019-01-02,16:55:18,-1,248,가동,723,104,129,109,111,308,49,280,136,224,197,486,708,30,A,25,8412,0,2019-01-02 16:55:18
7,2019-01-02,16:57:20,-1,249,가동,723,101,182,110,108,309,48,280,138,227,199,474,708,31,A,25,8412,0,2019-01-02 16:57:20
8,2019-01-02,16:59:28,-1,250,가동,723,102,122,109,111,310,51,245,128,229,189,478,708,30,A,25,8412,0,2019-01-02 16:59:28
9,2019-01-02,17:01:27,-1,251,가동,723,99,124,111,108,308,51,270,135,230,199,480,708,30,A,25,8412,0,2019-01-02 17:01:27
10,2019-01-02,17:03:28,-1,252,가동,723,101,121,109,110,309,47,277,137,231,198,483,708,30,A,25,8412,0,2019-01-02 17:03:28
11,2019-01-02,17:05:29,-1,253,가동,722,99,120,109,110,309,50,282,140,233,205,485,708,30,A,25,8412,0,2019-01-02 17:05:29
12,2019-01-02,17:07:30,-1,254,가동,723,101,121,111,107,308,49,284,142,235,207,487,708,30,A,25,8412,0,2019-01-02 17:07:30
13,2019-01-02,17:09:31,-1,255,가동,722,99,120,111,108,308,49,285,144,236,209,488,708,30,A,25,8412,0,2019-01-02 17:09:31
14,2019-01-02,17:11:37,-1,256,가동,722,102,122,110,111,309,49,286,145,238,212,489,708,30,A,25,8412,0,2019-01-02 17:11:37
15,2019-01-02,17:13:40,-1,257,가동,721,100,123,111,111,308,51,286,146,239,215,488,708,30,A,25,8412,0,2019-01-02 17:13:40
16,2019-01-02,17:15:41,-1,258,가동,721,99,123,111,109,308,48,283,145,240,210,490,708,30,A,25,8412,0,2019-01-02 17:15:41
17,2019-01-02,17:17:46,-1,259,가동,720,99,120,110,110,307,45,284,146,241,210,490,708,30,A,25,8412,0,2019-01-02 17:17:46
18,2019-01-02,17:19:50,-1,260,가동,720,100,126,110,111,307,46,285,147,241,212,489,708,30,A,25,8412,0,2019-01-02 17:19:50
19,2019-01-02,17:21:54,-1,261,가동,719,100,123,109,111,308,48,282,146,242,211,491,708,30,A,25,8412,0,2019-01-02 17:21:54
